timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684082661675,4,Home,200,OK,Thread Group 1-1,text,true,,1497,253,1,1,http://localhost:8080/jpetstore/,3,0,1
1684082661675,3,Home-0,302,Found,Thread Group 1-1,,true,,146,126,1,1,http://localhost:8080/jpetstore,3,0,1
1684082661678,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,127,1,1,http://localhost:8080/jpetstore/,1,0,0
1684082661782,15,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,399,1,1,http://localhost:8080/jpetstore/actions/Catalog.action,15,0,0
1684082661893,7,Sign In ,200,OK,Thread Group 1-1,text,true,,3925,605,1,1,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=AQMhitjYQlKCt-xUvyL4uQhaguZscwS50ignZqPL.ppss-vb?signonForm=,7,0,0
1684082661955,8,Login,200,OK,Thread Group 1-1,text,true,,5262,1625,1,1,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1684082661955,4,Login-0,302,Found,Thread Group 1-1,,true,,193,940,1,1,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1684082661959,4,Login-1,200,OK,Thread Group 1-1,text,true,,5069,685,1,1,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1684082662054,6,Reptiles,200,OK,Thread Group 1-1,text,true,,3712,252,1,1,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,6,0,0
1684082662107,3,Dogs,200,OK,Thread Group 1-1,text,true,,4296,248,1,1,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,3,0,0
1684082662210,6,Birds,200,OK,Thread Group 1-1,text,true,,3710,249,1,1,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,6,0,0
1684082662289,13,Sign Out,200,OK,Thread Group 1-1,text,true,,5255,1075,1,1,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1684082662289,6,Sign Out-0,302,Found,Thread Group 1-1,,true,,333,542,1,1,http://localhost:8080/jpetstore/actions/Account.action?signoff=,6,0,0
1684082662296,6,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4922,533,1,1,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
